ID,Handle,Title,Description,SKU,Price_Regular,Price_Sale,On_Sale,Discount_Percent,Currency,Category,Brands,Primary_Brand,Tags,Main_Image,Gallery_Images,Is_Combo,Stock_Status,Stock_Quantity,Weight,Dimensions,Created_At,Updated_At
1,kit-3-perfumes-1-million-parfum-paco-rabanne-sauvage-dior-e-invictus-paco-rabanne,"3-Piece Fragrance Set: 1 Million Parfum, Sauvage Dior & Invictus Paco Rabanne",Description for Combo 3 Perfumes 1 Million Parfum Paco Rabanne Sauvage Dior Et Invictus Paco Rabanne,FRAG-0002-BE4FD3,49.9,,false,0,GBP,Fragrance Sets,Dior,Dior,men; gift-set; new-in; bestseller; premium; offers,/images/products/combos/main/1-million-parfum-paco-rabanne-sauvage-dior-et-invi-main.png,,true,,,,,2025-08-23T14:36:12.495362,2025-08-23T22:45:54.481317
2,kit-3-perfumes-212-vip-rose-carolina-herrera-olympea-paco-rabanne-e-coco-mademoiselle-chanel,"3-Piece Fragrance Set: 212 VIP Rose, Olympea & Coco Mademoiselle",Description for Combo 3 Perfumes 212 Vip Rose Carolina Herrera Olympea Paco Rabanne Et Coco Mademoiselle Chanel,FRAG-0003-A89C36,49.9,,false,0,GBP,Fragrance Sets,Chanel,Chanel,women; gift-set; new-in; premium; offers,/images/products/combos/main/212-vip-rose-carolina-herrera-olympea-paco-rabanne-main.png,,true,,,,,2025-08-23T14:36:12.495377,2025-08-23T22:45:54.481863
3,kit-3-perfumes-boss-bottled-infinite-boss-the-essencia-e-boss-bottled,"3-Piece Fragrance Set: Boss Bottled Infinite, Boss The Scent & Boss Bottled",Description for Combo 3 Perfumes Boss Bottled Infinite Boss The Scent E Boss Bottled,FRAG-0004-543588,49.9,,false,0,GBP,Fragrance Sets,Hugo Boss,Hugo Boss,men; Hugo Boss; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/boss-bottled-infinite-boss-the-scent-e-boss-bottle-main.png,,true,,,,,2025-08-23T14:36:12.495388,2025-08-23T22:45:54.482213
4,kit-3-perfumes-dylan-blue-versace-phantom-paco-rabanne-e-ultra-male-jean-paul-gaultier,"3-Piece Fragrance Set: Dylan Blue, Phantom & Ultra Male",Description for Combo 3 Perfumes Dylan Blue Versace Phantom Paco Rabanne Et Ultra Male Jean Paul Gaultier,FRAG-0005-5F7EA8,49.9,,false,0,GBP,Fragrance Sets,Versace,Versace,men; Versace; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/dylan-blue-versace-phantom-paco-rabanne-et-ultra-m-main.png,,true,,,,,2025-08-23T14:36:12.495401,2025-08-23T22:45:54.482407
5,kit-3-perfumes-scandal-jean-paul-gaultier-jadore-dior-e-la-vie-est-belle-lancome,"3-Piece Fragrance Set: Scandal, J'adore & La Vie Est Belle",Description for Combo 3 Perfumes Scandal Jean Paul Gaultier Jadore Dior Et La Vie Est Belle Lancome,FRAG-0008-667128,49.9,,false,0,GBP,Fragrance Sets,Lancôme; Dior,Lancôme,women; Dior; Lancôme; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/scandal-jean-paul-gaultier-jadore-dior-et-la-vie-e-main.png,,true,,,,,2025-08-23T14:36:12.495440,2025-08-23T22:45:54.482606
9,kit-3-perfumes-y-yves-saint-laurent-sauvage-dior-e-versace-eros-versace,"3-Piece Fragrance Set: Y by YSL, Sauvage & Versace Eros",Description for Combo 3 Perfumes Y Yves Saint Laurent Sauvage Dior Et Versace Eros Versace,FRAG-0009-06652A,49.9,,false,0,GBP,Fragrance Sets,Versace; Dior,Versace,men; Dior; Versace; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/y-yves-saint-laurent-sauvage-dior-et-versace-eros-main.png,,true,,,,,2025-08-23T14:36:12.495457,2025-08-23T22:45:54.482813
10,Kit-of-3--212-la-vie-jadore,"3-Piece Women's Fragrance Set: Miss 212, La Vie Est Belle & J'adore",Description for Combo De 3 Miss 212 La Vie Jadore,FRAG-0010-7A4DE7,49.9,,false,0,GBP,Women's Fragrances,Multi-Brand,Multi-Brand,women; Multi-Brand; authentic; collection; combo; women; fragrance; gift-set; her; perfume; scent; set; uk; women; ,/images/products/combos/main/combo-de-3-feminino-212-la-vie-jadore-main.jpg,,true,,,,,2025-08-23T14:36:12.495467,2025-08-23T22:45:54.482985
11,Kit-of-3-perfumes-coco-mademoiselle-chanel-libre-yves-saint-laurent-e-chloe-signature,"3-Piece Fragrance Set: Coco Mademoiselle, Libre YSL & Chloé Signature",Description for Combo De 3 Perfumes Coco Mademoiselle Chanel Libre Yves Saint Laurent Et Chloe Signature,FRAG-0011-9DB7BA,49.9,,false,0,GBP,Fragrance Sets,Chloé; Chanel,Chloé,women; Chanel; Chloé; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/coco-mademoiselle-chanel-libre-yves-saint-laurent-main.png,,true,,,,,2025-08-23T14:36:12.495474,2025-08-23T22:45:54.483175
12,Kit-of-3-perfumes-femininos-la-vie-est-belle-mademoiselle-e-light-blue,"3-Piece Women's Fragrance Set: La Vie Est Belle, Mademoiselle & Light Blue",Description for Combo De 3 Perfumes Femininos La Vie Est Belle Mademoiselle E Light Blue,FRAG-0012-A77106,49.9,,false,0,GBP,Women's Fragrances,Multi-Brand,Multi-Brand,women; Multi-Brand; authentic; collection; combo; women; fragrance; gift-set; her; perfume; scent; set; uk; ,/images/products/combos/main/femininos-la-vie-est-belle-mademoiselle-e-light-bl-main.webp,,true,,,,,2025-08-23T14:36:12.495486,2025-08-23T22:45:54.484586
13,Kit-of-3-perfumes-hypnotic-poison-dior-si-giorgio-armani-e-dylan-turquoise-versace,"3-Piece Fragrance Set: Hypnotic Poison, Sì Giorgio Armani & Dylan Turquoise",Description for Combo De 3 Perfumes Hypnotic Poison Dior Si Giorgio Armani Et Dylan Turquoise Versace,FRAG-0013-3C1CFA,49.9,,false,0,GBP,Fragrance Sets,Versace; Dior,Versace,women; Dior; Versace; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/hypnotic-poison-dior-si-giorgio-armani-et-dylan-tu-main.png,,true,,,,,2025-08-23T14:36:12.495492,2025-08-23T22:45:54.485205
